Día,Frecuencia,Tweet,Tipus tweet,Tipus user
2014-09-17T00:00:00Z,136.0,RT @afrocatalans: Comencem a Twitter ... Som Afrocatalans / Somos Afrocatalanes / Estimem Àfrica i CAT / Volem votar #9N i votar #SíSí http…,campaña,entidades civiles
2014-09-17T00:00:00Z,134.0,"RT @cupnacional: ""L'autonomia la suspendrem nosaltres, perquè anem cap a la independència"" http://t.co/t4yuX3UL02 @HiginiaRoig #9N2014 http…",campaña,politics
2014-09-17T00:00:00Z,94.0,"RT @Esquerra_ERC: Scotland Votes, Catalunya votarà #indyref #VoteYes #9N #9N2014 #SíSí http://t.co/jjYAOKaZu8",campaña,politics
2014-09-17T00:00:00Z,87.0,"RT @assemblea: .@ForcadellCarme: ""Si el TC suspèn el #9N2014 començarem la campanya aquella mateixa tarda amb concentracions a tot el país.""",campaña,entidades civiles
2014-09-18T00:00:00Z,302.0,RT @assemblea: Demà tothom davant del #Parlament per donar suport a l'aprovació de la Llei de Consultes! El #9N2014 votarem! http://t.co/Ba…,campaña,entidades civiles
2014-09-18T00:00:00Z,198.0,RT @assemblea: Demà a les 16h00 us esperem a tots  davant del #Parlament per donar suport a l'aprovació de la Llei de Consultes! El #9N2014…,campaña,entidades civiles
2014-09-18T00:00:00Z,163.0,RT @Esquerra_ERC: A Escòcia es demostra avui que votar és normal en un país normal #indyref #VoteYes #YesScotland #9N #9N2014 #SíSí http://…,campaña,politics
2014-09-18T00:00:00Z,76.0,"RT @sumate_asoc: ""El terrorífico monstruo escocés"" que tanto asusta a Rajoy #18N2014 #YesScotland #9N2014 #SíSí http://t.co/gR5qtX2lsg",campaña,entidades civiles
2014-09-18T00:00:00Z,75.0,RT @Araeslhora: Abans d'arribar al #9N2014 hem d'haver arribat a tothom. Fes-ho possible! Fes-te voluntari a http://t.co/hwwcPNHiOd! http:/‚Ä¶,campaña,entidades civiles
2014-09-19T00:00:00Z,379.0,RT @Araeslhora: El 9N ja és legal. Tot a punt per votar i guanyar! #CatalansVote9N http://t.co/kjx9QMktlD,campaña,entidades civiles
2014-09-19T00:00:00Z,134.0,RT @Araeslhora: Votar és guanyar. Votar un país nou és guanyar un futur millor. #araéslhora #CatalansVote9N http://t.co/xPLGnPf0qH,campaña,entidades civiles
