Día,Frecuencia,Tweet,Tipus tweet,user,Lang,Tipus user
17/09/14,134,"RT @cupnacional: ""L'autonomia la suspendrem nosaltres, perquè anem cap a la independència"" http://t.co/t4yuX3UL02 @HiginiaRoig #9N2014 http…",campaña,cupnacional,cat,políticas/os
17/09/14,94,"RT @Esquerra_ERC: Scotland Votes, Catalunya votarà #indyref #VoteYes #9N #9N2014 #SíSí http://t.co/jjYAOKaZu8",campaña,Esquerra_ERC,cat,políticas/os
17/09/14,87,"RT @assemblea: .@ForcadellCarme: ""Si el TC suspèn el #9N2014 començarem la campanya aquella mateixa tarda amb concentracions a tot el país.""",campaña,assemblea,cat,entidades civiles
18/09/14,594,RT @chmikael_5169: 9N____ _____;;;;??? ___ ___ ______ __ ____ !! __ _____ ____ ____ ________ __ http://t.co/jbu4z6jGPP,campaña,assemblea,cat,entidades civiles
18/09/14,302,RT @assemblea: Demà tothom davant del #Parlament per donar suport a l'aprovació de la Llei de Consultes! El #9N2014 votarem! http://t.co/Ba…,campaña,assemblea,cat,entidades civiles
18/09/14,198,RT @assemblea: Demà a les 16h00 us esperem a tots  davant del #Parlament per donar suport a l'aprovació de la Llei de Consultes! El #9N2014…,campaña,Esquerra_ERC,cat,políticas/os
18/09/14,163,RT @Esquerra_ERC: A Escòcia es demostra avui que votar és normal en un país normal #indyref #VoteYes #YesScotland #9N #9N2014 #SíSí http://…,campaña,sumate_asoc,cat,entidades civiles
18/09/14,76,"RT @sumate_asoc: ""El terrorífico monstruo escocés"" que tanto asusta a Rajoy #18N2014 #YesScotland #9N2014 #SíSí http://t.co/gR5qtX2lsg",campaña,Araeslhora,cat,entidades civiles
19/09/14,379,RT @Araeslhora: El 9N ja és legal. Tot a punt per votar i guanyar! #CatalansVote9N http://t.co/kjx9QMktlD,campaña,Araeslhora,cat,entidades civiles
19/09/14,179,RT @Esquerra_ERC: El Parlament de Catalunya aprova la Llei de consultes amb 106 vots a favor i 28 en contra. El #9N2014 #votarem http://t.c…,campaña,CataloniaYes,cat,entidades civiles
19/09/14,179,RT @CataloniaYes: Catalonia will vote and will win this November 9th. Thanks for your support Scotland!  #CatalansVote9N,campaña,Esquerra_ERC,cat,políticas/os
19/09/14,175,RT @assemblea: Molta gent davant del #Parlament per donar suport a l'aprovació de la Llei de Consultes! El #9N2014 votarem! http://t.co/l0n…,campaña,assemblea,cat,entidades civiles
19/09/14,156,RT @jordisalvia: La bandera espanyola del Parlament de Catalunya avui oneja cap per avall #Parlament #lleiconsultes #9N2014 http://t.co/49H…,noticias,jordisalvia,cat,ciudadana/o
20/09/14,223,RT @martarovira: Tothom tranquil!  Desobeirem quan calgui! #votarem #9N,campaña,martarovira,cat,políticas/os
20/09/14,159,"RT @miriamnoguerasM: Els que viviu fora de Catalunya, apunteu-vos al cens per votar el 9N! RT RT RT! http://t.co/b1a3upgcne",organización,miriamnoguerasM,cat,políticas/os
20/09/14,139,RT @25novembre2012: Aquí teniu la cara dels fills de franquistes que no volen que VOTEM el #9N (16)  @assemblea @Araeslhora @sumate_asoc ht…,campaña,25novembre2012,cat,ciudadana/o
20/09/14,132,RT @25novembre2012: Aquí teniu la cara dels fills de franquistes que no volen que VOTEM el #9N (15)  @assemblea @Araeslhora @sumate_asoc ht…,campaña,25novembre2012,cat,ciudadana/o
20/09/14,118,RT @25novembre2012: Aquí teniu la cara dels fills de franquistes que no volen que VOTEM el #9N (9)  @assemblea @Araeslhora @sumate_asoc htt…,campaña,25novembre2012,cat,ciudadana/o
21/09/14,496,RT @chmikael_5169: 9N____ _____;;;;??? ___ ___ ______ __ ____ !! __ _____ ____ ____ ________ __ http://t.co/jbu4z6jGPP,campaña,CataloniaYes,cat,entidades civiles
21/09/14,444,RT @CataloniaYes: RT if you think that the people of Catalonia have the right to decide their future in a referendum on independence.  #9N2…,campaña,assemblea,cat,entidades civiles
21/09/14,289,RT @assemblea: Moltes felicitats @NuriaPicas per la nova victòria i gràcies per tot el que fas! El #9N2014 votarem i guanyarem! http://t.co…,campaña,MainatJM,cat,celebrity
21/09/14,212,"RT @MainatJM: Funció exponencial. Passeu aquest vídeo a 6 persones i que cadascuna el passi a 6 més. ""El 9N votarem, i guanyarem"" http://t.…",noticias,RealMiracle66,cat,ciudadana/o
21/09/14,173,RT @RealMiracle66: Gallardón fins al coll en el cas Nóos! Amagava fotos com aquestes al jutge Castro! #9N2014  http://t.co/l4y2tp2TCO http:…,noticias,Laksmiz,cat,ciudadana/o
22/09/14,202,RT @ANC_Economistes: Enquesta #CEO  32% indep. NO 60% indep. SÍ (65% excloent indecisos) 74% volen votar 88% acceptaran resultat #9N2014  O…,noticias,ANC_Economistes,cat,entidades civiles
22/09/14,190,RT @CataloniaYes: RT if you think that the people of Catalonia have the right to decide their future in a referendum on independence.  #9N2…,campaña,CataloniaYes,cat,entidades civiles
22/09/14,153,"RT @AsiaticsCat: 1r tuit: som catalans d'origen d #Pakistan, #Índia, #Bangladesh i #Nepal. El #9N volem votar com uns catalans més! http://…",campaña,AsiaticsCat,cat,entidades civiles
22/09/14,140,"RT @AlfredBosch: Orgullós de la meva ciutat. Avui Barcelona diu al món, amb el cap ben alt, que el #9N2014 votarem. We will vote #pleBCN",campaña,AlfredBosch,cat,políticas/os
22/09/14,138,"RT @assemblea: El #9N2014 votarem, però hem de guanyar i per fer-ho us necessitem a tots! Fes-te voluntari! http://t.co/D3KuIMKAb2 http://t…",campaña,assemblea,cat,entidades civiles
23/09/14,228,"RT @Araeslhora: Gairebé 700 ajuntaments, el 70% de la població, ja han donat suport a la consulta. El #9N2014 votarem i guanyarem! http://t…",campaña,Araeslhora,cat,entidades civiles
23/09/14,194,"RT @assemblea: El nombre d'Ajuntaments que es sumen al #9N2014 no para de créixer! Avui ja en són 782, el 80% de la població! El #9N2014 vo…",campaña,assemblea,spa,entidades civiles
23/09/14,167,"RT @Araeslhora: ALERTA: Si vius a l'estranger i vols votar el 9N, registra't aquí: http://t.co/LdBwpAWTRr. Tota la informació: http://t.co/…",organización,Araeslhora,cat,entidades civiles
23/09/14,159,"RT @Araeslhora: Has arribat fins aquí per no guanyar el 9N? No deixis escapar la història, fes-te voluntari! http://t.co/hwwcPNHiOd http://…",organización,Araeslhora,cat,entidades civiles
23/09/14,149,RT @saulgordillo: MAPA: 782 ajuntaments donen suport a la consulta #9N2014 i hi prestaran suport logístic http://t.co/DfJfeYbkZx http://t.c…,noticias,saulgordillo,cat,media
24/09/14,188,"RT @assemblea: Més de 782 municipis, el 80% de la població catalana, han donat suport al #9N2014. Votar és legal, legítim i democràtic! El …",campaña,assemblea,cat,entidades civiles
24/09/14,123,RT @oriol_ges: Hi ha centenars de catalans q ja tenen bitllet d'avió per venir a votar el #9N. Cal #ReferèndumSíoSí i no decebre'ls! http:/…,campaña,oriol_ges,cat,políticas/os
24/09/14,103,"RT @AMI__cat: 828 municipis, el 87,43% del total han aprovat moció #9N  o tenen data per fer-ho. Dates plens i fotos plens fets a: http://t…",noticias,AMI__cat,cat,entidades civiles
24/09/14,103,RT @saulgordillo: MAPA: 782 ajuntaments donen suport a la consulta #9N2014 i hi prestaran suport logístic http://t.co/DfJfeYbkZx http://t.c…,noticias,saulgordillo,cat,media
24/09/14,86,"RT @VilaWeb: La inscripció per a votar al #9N des de l'estranger, a punt de tancar-se > http://t.co/BAtDtdncn7 @assemblea_int http://t.co/y…",organización,VilaWeb,cat,media
25/09/14,203,RT @Araeslhora: ACTUALITZACIÓ: Ja són 828 els municipis que donen suport a la consulta. Units pel 9N! #CatalansVote9N http://t.co/u43cJBRIvV,campaña,Araeslhora,cat,entidades civiles
25/09/14,197,RT @JosepGinesta: Que participar al 9N comporti inhabilitació però celebrar el 23F ascensos (fill de Tejero) és una bona forma de començar …,campaña,JosepGinesta,cat,políticas/os
25/09/14,193,RT @Araeslhora: ALERTA: Vius a l'estranger i vols votar el 9N? Dissabte al matí es tanca el registre. Hi ets? http://t.co/LdBwpAWTRr http:/…,organización,Araeslhora,cat,entidades civiles
25/09/14,134,RT @el_pais: ÚLTIMAHORA Artur Mas firmará el sábado el decreto para convocar la consulta del 9N en Cataluña http://t.co/P7gnN6avC4 http://t…,noticias,el_pais,cat,media
